sk_d_aluno,nome_completo,matriculaDRE,sexo
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,Kaique Freitas,0,M
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,Luiz Fernando Barros,1,M
d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,Ana Júlia Novaes,2,M
4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,Dra. Carolina Fernandes,3,M
4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,Ana Luiza da Mota,4,M
ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,Levi Freitas,5,F
e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,Dr. Augusto Nogueira,6,M
7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,Carlos Eduardo Aragão,7,M
2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,Murilo da Costa,8,M
19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,Arthur Monteiro,9,M
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,João Lucas Souza,10,M
4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,Ian Ferreira,11,F
6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,Alana Rocha,12,F
3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,Ana Carolina da Paz,13,M
8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,Caio Barbosa,14,M
e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,Yago Porto,15,M
b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,Ana Clara Gomes,16,M
4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,Sra. Isabel Almeida,17,M
4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,Srta. Olivia Nogueira,18,M
9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,Cauã Correia,19,M
f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,Ana Lívia Nogueira,20,M
6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,Isadora Costela,21,M
785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,Ana Julia Santos,22,M
535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,Vinicius Castro,23,M
c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db,Joana Mendes,24,M
b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569,Ana Silveira,25,F
5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,Luiz Henrique Porto,26,M
670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,Mariana Barros,27,M
59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a,Enzo Gabriel Araújo,28,M
35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458,Dr. João Vitor Cunha,29,M
624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4,Sra. Sarah Farias,30,M
eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f,Davi Carvalho,31,M
e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b,Luiz Fernando Almeida,32,M
c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,Kaique Silva,33,M
