sk_d_aluno,nome_completo,matricula_dre,sexo,idade,data_nascimento,periodo_ingresso_curso_atual,periodo_ingresso_ufrj,forma_ingresso,modalidade_cota,nota_enem
710474907bc3ee54f91f78bb34fdda72dff0a9c665c945cdcf4824859db643eb,Vitor Hugo Costa,100088433,Masculino,18.0,06/02/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
d2bd690fd247734ed09ec3b51553124da420ec3b4db41c783769aabc473faa17,Joaquim Porto,100074123,Masculino,19.0,05/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
86d3c3b4cded01c336f48d13f048cc2ff847ad5ee79f677163965c82332fcf8a,Sra. Catarina Sousa,100032902,Masculino,20.0,24/08/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
5d8e5aaec3e621f38eac2a9cfc0130f35e30b524867894fedfc15917338343e4,Isabela Mendes,100054562,Masculino,22.0,18/08/1978,2000/1,2000/1,Vestibular,Ampla Concorrência,
9713423bc4bd136abe653f9130b9f8babcfd90bedd2ab109d46d344b5145d29a,Ana Cecília Ferreira,100078597,Masculino,19.0,02/05/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
2b656f6d2dcb57e2b2b7fdc30122499c5a3fe99ca3188a30ffb3307b547747cf,Beatriz Silveira,100018653,Masculino,22.0,10/11/1978,2000/1,2000/1,Vestibular,Ampla Concorrência,
673a2e2a233789988fd1aac800a539bb771ba4c73a616dfd2519d16a91152d09,Marcela Montenegro,100081416,Masculino,18.0,22/03/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
70475a8a3d53545ad989b594878f4dc6a56ee56ad31ba338a18b59f1d2d2bd41,Maria Julia Castro,100026211,Masculino,19.0,02/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
88d7f4bf037e0323bf89d8478d86d08439ecc709bbf637c83b6bf47969c9e35b,Mariana Pinto,100035974,Masculino,18.0,09/08/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
09a20da939758601d2308f2517bb6be01c6d87c6a25468c3319c4a726fe60df8,Julia Vargas,100097491,Masculino,18.0,23/02/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
8b022fc9702d9ca7d9758dae885be5f085dcf6463a455a8c091794f75a77a40f,Marina Lopes,100081101,Masculino,19.0,10/12/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
ff1786cdf4d86b749a7d2e30d2648d695d5066aa19d864187d04fd3c278827fa,Maria Julia Santos,100034166,Masculino,21.0,18/09/1979,2000/1,2000/1,Vestibular,Ampla Concorrência,
153ec2ecc24cff02303602de0cf39acf0370c195d57e63bb0a2f040bcaba7f38,Brayan Albuquerque,100040524,Feminino,18.0,10/05/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
18ee1db5d26170a52ed2425208608bedbe54ff86c8213f0f45cfcf747a24ef50,Valentina Nogueira,100056656,Masculino,18.0,24/02/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
b6f2611e7d46194993cacd4d6324e6e527c6a33239b84155ea7d76bd109fea61,Ana Beatriz Alves,100020176,Masculino,18.0,02/01/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
6c43ddcd774aa1803f60739f4c5ebf7342b7ba9e1471058ee82fa642885266b7,Dom Nascimento,100038119,Masculino,20.0,11/06/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
c2d4c80a351387811783b8df77ab4d9f1447d80cf09d8d98b833396abc087250,Benjamin Mendonça,100030991,Masculino,21.0,24/08/1981,2002/2,2000/1,Vestibular,Ampla Concorrência,
0d3bd16a30471545c90351861531c8a9e4c74f78b5eff31078f7b0afdae65acc,Theo Jesus,100089163,Masculino,20.0,18/04/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
9bd7ec17b636affbb060b6e96abc9208c96efa0d126a3fe315cd09ef07acc018,Igor da Paz,100084527,Masculino,20.0,03/12/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
7503c56e4602e35634a8993b9f1e1880f35abf9ebd1b91247fa739b695fa9aa0,Lara Borges,100067905,Feminino,21.0,26/05/1979,2000/1,2000/1,Vestibular,Ampla Concorrência,
11e74b9d631b5a77628b87fa27ff188643edd4bf0eb19a43f979b2eb17ecf16f,Sr. Vitor Hugo Nogueira,100098309,Masculino,21.0,30/11/1980,2001/2,2000/1,Vestibular,Ampla Concorrência,
3dde0cabc85dcbcf8e7a3a52f93039daefeb2b08707a38bec62fba8b06de6830,Aurora Ramos,100047085,Masculino,45.0,19/10/1955,2000/1,2000/1,Vestibular,Ampla Concorrência,
93f8ec0faba3713b9e73529b9913eeb38f301f65a23c362efed43c515c9b9ec1,Pedro Lucas da Rocha,100013460,Masculino,19.0,23/10/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
4626f4df91291d054746738631d8ad5200d8d24cd708f93c8d1b274dbc5a1288,Antony Moura,100059347,Masculino,19.0,20/03/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
9d45638a275ee5ecf2eab29be054b6345af6de11482ba23bcfcf9031507115e6,Luana Castro,100054801,Masculino,18.0,15/03/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
5bda9c02f4bba0b90cfa1d7ffceafa3b5f22b5d590dcdb70cca27f8ca8c20174,Dr. Pedro Gomes,100009577,Masculino,18.0,14/01/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
5e1d817a6ca990309ff798836d3c930abbc8b26499a164863111edc3acc36c6e,Julia Vieira,100018413,Masculino,26.0,25/06/1974,2000/1,2000/1,Vestibular,Ampla Concorrência,
4691e788dc74f500495b09b6334cde761ccc7136968d3fa48f987b9cedf71225,Elisa Dias,100036733,Masculino,18.0,23/07/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
5a20e09806b5933a97e02eead11dfeb8905edce2141eb4748754ef213b141c58,Arthur Rocha,100065060,Feminino,19.0,16/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
a95ff88f16b992804914cbde95b2698090fdead3b78722c62f8528621eb77eec,Mariana Cirino,100027355,Masculino,22.0,07/08/1978,2000/1,2000/1,Vestibular,Ampla Concorrência,
21b15c5ed4bf64b472c132a4aac5f01d6c5a4dd182fb97786f2043d3674d89c7,Gael Henrique Ferreira,100070660,Masculino,20.0,25/05/1980,2000/1,2000/1,Transferência,Ampla Concorrência,
eaef050df341da60e68dd241539fca800727ca604aa113af022823e21f1db19b,Kamilly Porto,100022840,Masculino,19.0,16/12/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
9ab29f7f4c7a30751ddc08052b860d32645b60b43b55b9072f4ae7d14a7e9b47,Sra. Daniela Araújo,100021017,Masculino,20.0,15/01/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
3ec1644ba088b5bb04c54e3fc4a5485701f3467dbecad0affe1105a5bf9f2104,Sarah Pires,100076897,Feminino,20.0,12/08/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
bc8029069bebdf68ec37c8e7f74bf0ecb59597945df6624eb8c63170560cb1a6,Dra. Isis Rezende,100080584,Masculino,21.0,12/09/1979,2000/1,2000/1,Vestibular,Ampla Concorrência,
2211359a6fcb65d1d3e3c855cfc83b8855078a11ef404dc6c01e77c1ecb9b4bf,Rodrigo Machado,100030149,Masculino,19.0,10/04/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
9f666f84ded24e1a4c09ef0b6eaf51935d6046f78519a72a2ac24cbdfde7d797,Isabella Borges,100084009,Feminino,20.0,17/06/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
a1750d080edb7557878349435ea87b55531d6140bc40b8284770fec38a00db80,Leandro Martins,100089328,Masculino,21.0,11/04/1979,2000/1,2000/1,Vestibular,Ampla Concorrência,
0ab5926ef4534c5efed680a87a6ec566acb590654802f4387f6e3110a6a09642,Guilherme Cardoso,100093097,Masculino,18.0,05/01/1982,2000/1,2000/1,Transferência,Ampla Concorrência,
6a0deb007405f817470869a0055db83105f34fa4852dbe2c7dd6c2f6825dd48a,Ana Sophia Viana,100028441,Masculino,19.0,11/09/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
eb6c1a402526aa1365a2c4976aa4043085183e619b0fb842eff1f4a6df09a917,Mathias Dias,100084235,Masculino,19.0,16/05/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
d71f60a41941f67ca3d7b263e9b223e852ab5181fe78936e85c038de697d4ec0,Sr. Rael da Rosa,100055858,Masculino,19.0,06/10/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
b9b08ff5f646c8b6a07ccc522bba66a5d2bd4668659e6dc721c867fca0881447,Matheus Fonseca,100039132,Masculino,19.0,19/02/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
3b0c833d65a2c26e89931259b1a461e1bdff2f7b5de1558e37f7345dab90bad6,Vitória Fogaça,100018704,Feminino,21.0,15/01/1979,2000/1,2000/1,Transferência,Ampla Concorrência,
055f83f6622cc970d25aa637f849f9f4d00ab554be40361e95ffd77d288dbc64,Théo Casa Grande,100005320,Masculino,19.0,04/10/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
818399057f4c62270d640561f48a346a9e0743578622e18d912e02fe79c40bd3,Rebeca Nascimento,100072371,Masculino,19.0,14/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
727a3f958d1179d3db4909f79502df227d40e6c15f781a2e6095d556c09ab26c,Esther Peixoto,100063247,Masculino,19.0,28/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
dd7875c366de7469abf4ca0c29b13918febe7440a28af26b1659191a33c4ab75,Juan da Paz,100058463,Masculino,18.0,19/01/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
a0d1fe1fe590e427645dca295558a1a511e49ba5a0c4e096454f93ff1696877f,Maria Julia Fonseca,100030026,Masculino,20.0,09/07/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
09bf416645c6ca1b7d26ceafdc653d16adb5dbe4010b176dd292eeb22885d697,Antony Ferreira,100020335,Masculino,23.0,11/04/1977,2000/1,2000/1,Vestibular,Ampla Concorrência,
728ce3f5a02ea014ed63be3510cb23206707912f2f738298ae4c21ac785ffd81,Vitor Hugo Nascimento,100091456,Feminino,17.0,18/04/1983,2000/1,2000/1,Vestibular,Ampla Concorrência,
adf6744d2f0b474a292517933f400c4c297fb29478ab1229dd97d736e039b146,Vicente Barros,100018403,Masculino,18.0,02/06/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
5359f96a5e27184669dbc3ae4a77b0b388ef5c520923229de98232ca04135d6f,Lavínia Pacheco,100041882,Masculino,20.0,12/09/1981,2001/2,2000/1,Vestibular,Ampla Concorrência,
f12eaaf085848753d047d3518f8613d3e9e258d0a4547efcb14aa7cc87072ddb,Emilly Farias,100077554,Masculino,19.0,28/08/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
