sk_d_aluno,nome_completo,matricula_dre,sexo,data_nascimento,periodo_ingresso_curso_atual,periodo_ingresso_ufrj,forma_ingresso,modalidade_cota,nota_enem
5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9,Zoe Alves,0,Masculino,06/02/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,Thiago Silveira,1,Masculino,05/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,Sr. Bento da Conceição,2,Masculino,24/08/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,Sr. Joaquim da Cunha,3,Masculino,18/08/1978,2000/1,2000/1,Vestibular,Ampla Concorrência,
4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,Theo Cavalcanti,4,Masculino,02/05/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,Léo Melo,7,Masculino,10/11/1978,2000/1,2000/1,Vestibular,Ampla Concorrência,
2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,Fernando Câmara,8,Masculino,22/03/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7,Sr. João Felipe Vasconcelos,9,Masculino,02/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,Alexandre Cavalcante,10,Masculino,09/08/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,Rafaela Montenegro,11,Masculino,23/02/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,Anthony Siqueira,12,Masculino,10/12/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,Raquel Rocha,13,Masculino,18/09/1979,2000/1,2000/1,Vestibular,Ampla Concorrência,
8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,Isabella Cassiano,14,Feminino,10/05/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb,Miguel da Cunha,15,Masculino,24/02/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9,Nicolas da Conceição,16,Masculino,02/01/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
4523540f1504cd17100c4835e85b7eefd49911580f8efff0599a8f283be6b9e3,Lucca Oliveira,17,Masculino,11/06/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a,Antony Câmara,18,Masculino,24/08/1981,2002/2,2000/1,Vestibular,Ampla Concorrência,
9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,Sra. Fernanda Cunha,19,Masculino,18/04/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b,Nicolas Cirino,20,Masculino,03/12/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443,Dr. Luiz Felipe Carvalho,21,Feminino,26/05/1979,2000/1,2000/1,Vestibular,Ampla Concorrência,
785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09,Isadora Pereira,22,Masculino,30/11/1980,2001/2,2000/1,Vestibular,Ampla Concorrência,
535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790,Maria Fernanda Cardoso,23,Masculino,19/10/1955,2000/1,2000/1,Vestibular,Ampla Concorrência,
c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db,Emilly Oliveira,24,Masculino,23/10/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
b7a56873cd771f2c446d369b649430b65a756ba278ff97ec81bb6f55b2e73569,Fernando Silva,25,Masculino,20/03/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,Anthony Machado,26,Masculino,15/03/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf,Sra. Luana Sampaio,27,Masculino,14/01/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a,Dr. Nicolas Barros,28,Masculino,25/06/1974,2000/1,2000/1,Vestibular,Ampla Concorrência,
eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f,Melina da Rocha,31,Masculino,23/07/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b,Maria Luiza Montenegro,32,Feminino,16/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,Caroline Porto,33,Masculino,07/08/1978,2000/1,2000/1,Vestibular,Ampla Concorrência,
86e50149658661312a9e0b35558d84f6c6d3da797f552a9657fe0558ca40cdef,Benicio Santos,34,Masculino,25/05/1980,2000/1,2000/1,Transferência,Ampla Concorrência,
9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953,Davi Alves,35,Masculino,16/12/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269,Valentina da Luz,36,Masculino,15/01/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
7a61b53701befdae0eeeffaecc73f14e20b537bb0f8b91ad7c2936dc63562b25,Sra. Agatha Câmara,37,Feminino,12/08/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470,Dr. Arthur Gabriel Oliveira,38,Masculino,12/09/1979,2000/1,2000/1,Vestibular,Ampla Concorrência,
0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9,Catarina Monteiro,39,Masculino,10/04/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103,Erick Cassiano,40,Feminino,17/06/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9,Sr. Levi Monteiro,41,Masculino,11/04/1979,2000/1,2000/1,Vestibular,Ampla Concorrência,
73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049,Melina Freitas,42,Masculino,05/01/1982,2000/1,2000/1,Transferência,Ampla Concorrência,
44cb730c420480a0477b505ae68af508fb90f96cf0ec54c6ad16949dd427f13a,Ana Beatriz Rocha,43,Masculino,11/09/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
71ee45a3c0db9a9865f7313dd3372cf60dca6479d46261f3542eb9346e4a04d6,Matteo Guerra,44,Masculino,16/05/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c,Ryan Aragão,45,Masculino,06/10/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
25fc0e7096fc653718202dc30b0c580b8ab87eac11a700cba03a7c021bc35b0c,Gustavo Henrique Abreu,46,Masculino,19/02/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617,João Vitor da Rosa,47,Feminino,15/01/1979,2000/1,2000/1,Transferência,Ampla Concorrência,
98010bd9270f9b100b6214a21754fd33bdc8d41b2bc9f9dd16ff54d3c34ffd71,Luiz Miguel Lima,48,Masculino,04/10/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f,Fernanda Viana,49,Masculino,14/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
1a6562590ef19d1045d06c4055742d38288e9e6dcd71ccde5cee80f1d5a774eb,Theodoro da Mota,50,Masculino,28/06/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
031b4af5197ec30a926f48cf40e11a7dbc470048a21e4003b7a3c07c5dab1baa,Léo das Neves,51,Masculino,19/01/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
41cfc0d1f2d127b04555b7246d84019b4d27710a3f3aff6e7764375b1e06e05d,Vitória Peixoto,52,Masculino,09/07/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
2858dcd1057d3eae7f7d5f782167e24b61153c01551450a628cee722509f6529,Ana Lívia Castro,53,Masculino,11/04/1977,2000/1,2000/1,Vestibular,Ampla Concorrência,
2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e,Stephany Santos,54,Feminino,18/04/1983,2000/1,2000/1,Vestibular,Ampla Concorrência,
02d20bbd7e394ad5999a4cebabac9619732c343a4cac99470c03e23ba2bdc2bc,Dr. José Nunes,55,Masculino,02/06/1982,2000/1,2000/1,Vestibular,Ampla Concorrência,
7688b6ef52555962d008fff894223582c484517cea7da49ee67800adc7fc8866,João Pedro Gomes,56,Masculino,12/09/1981,2001/2,2000/1,Vestibular,Ampla Concorrência,
c837649cce43f2729138e72cc315207057ac82599a59be72765a477f22d14a54,Lucas Gabriel da Mota,57,Masculino,28/08/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
6208ef0f7750c111548cf90b6ea1d0d0a66f6bff40dbef07cb45ec436263c7d6,Gabrielly Melo,58,Masculino,04/12/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
3e1e967e9b793e908f8eae83c74dba9bcccce6a5535b4b462bd9994537bfe15c,Milena Alves,59,Masculino,18/04/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
39fa9ec190eee7b6f4dff1100d6343e10918d044c75eac8f9e9a2596173f80c9,Gael Henrique Moraes,60,Masculino,06/06/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
81b8a03f97e8787c53fe1a86bda042b6f0de9b0ec9c09357e107c99ba4d6948a,Mariana Azevedo,62,Masculino,18/09/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
da4ea2a5506f2693eae190d9360a1f31793c98a1adade51d93533a6f520ace1c,Elisa Martins,63,Feminino,06/08/1977,2000/1,2000/1,Transferência,Ampla Concorrência,
a68b412c4282555f15546cf6e1fc42893b7e07f271557ceb021821098dd66c1b,Sr. Vicente da Conceição,64,Masculino,07/05/1979,2000/1,2000/1,Transferência,Ampla Concorrência,
108c995b953c8a35561103e2014cf828eb654a99e310f87fab94c2f4b7d2a04f,Samuel Costa,65,Masculino,29/12/1981,2000/1,2000/1,Vestibular,Ampla Concorrência,
3ada92f28b4ceda38562ebf047c6ff05400d4c572352a1142eedfef67d21e662,Sr. Isaque Camargo,66,Masculino,29/05/1980,2000/1,2000/1,Vestibular,Ampla Concorrência,
49d180ecf56132819571bf39d9b7b342522a2ac6d23c1418d3338251bfe469c8,Antony da Mata,67,Masculino,03/10/1979,2000/1,2000/1,Vestibular,Ampla Concorrência,
a21855da08cb102d1d217c53dc5824a3a795c1c1a44e971bf01ab9da3a2acbbf,Maria Liz da Costa,68,Feminino,13/05/1974,2000/1,2000/1,Transferência,Ampla Concorrência,
c75cb66ae28d8ebc6eded002c28a8ba0d06d3a78c6b5cbf9b2ade051f0775ac4,João Guilherme Alves,69,Masculino,20/07/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a,Caleb Gomes,70,Masculino,21/07/1982,2000/1,2000/2,Vestibular,Ampla Concorrência,
7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8,Lorena Nascimento,71,Masculino,23/03/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
8722616204217eddb39e7df969e0698aed8e599ba62ed2de1ce49b03ade0fede,Dra. Ana Luiza Lima,72,Masculino,09/03/1982,2000/1,2000/2,Vestibular,Ampla Concorrência,
96061e92f58e4bdcdee73df36183fe3ac64747c81c26f6c83aada8d2aabb1864,Otávio Azevedo,73,Masculino,30/01/1978,2000/2,2000/2,Vestibular,Ampla Concorrência,
eb624dbe56eb6620ae62080c10a273cab73ae8eca98ab17b731446a31c79393a,Theodoro Sampaio,74,Masculino,04/01/1980,2000/2,2000/2,Vestibular,Ampla Concorrência,
f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac,Dr. Ian Silva,75,Feminino,09/12/1978,2000/2,2000/2,Vestibular,Ampla Concorrência,
f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980,Leandro Casa Grande,76,Masculino,31/10/1978,2000/2,2000/2,Vestibular,Ampla Concorrência,
a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73,Dra. Allana Rodrigues,77,Masculino,26/05/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9,Rhavi Gomes,78,Feminino,14/11/1979,2000/2,2000/2,Vestibular,Ampla Concorrência,
98a3ab7c340e8a033e7b37b6ef9428751581760af67bbab2b9e05d4964a8874a,Luiz Henrique Nunes,79,Masculino,13/10/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,Breno Silva,80,Feminino,12/11/1980,2000/2,2000/2,Vestibular,Ampla Concorrência,
5316ca1c5ddca8e6ceccfce58f3b8540e540ee22f6180fb89492904051b3d531,Camila Andrade,81,Masculino,20/07/1979,2000/2,2000/2,Vestibular,Ampla Concorrência,
a46e37632fa6ca51a13fe39a567b3c23b28c2f47d8af6be9bd63e030e214ba38,Samuel Pires,82,Masculino,26/12/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
bbb965ab0c80d6538cf2184babad2a564a010376712012bd07b0af92dcd3097d,Marcelo Vargas,83,Masculino,11/09/1979,2000/2,2000/2,Vestibular,Ampla Concorrência,
44c8031cb036a7350d8b9b8603af662a4b9cdbd2f96e8d5de5af435c9c35da69,André Melo,84,Masculino,11/06/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
b4944c6ff08dc6f43da2e9c824669b7d927dd1fa976fadc7b456881f51bf5ccc,Maria Eduarda Barros,85,Masculino,17/03/1982,2000/2,2000/2,Vestibular,Ampla Concorrência,
434c9b5ae514646bbd91b50032ca579efec8f22bf0b4aac12e65997c418e0dd6,Ana da Costa,86,Masculino,05/09/1980,2000/2,2000/2,Vestibular,Ampla Concorrência,
bdd2d3af3a5a1213497d4f1f7bfcda898274fe9cb5401bbc0190885664708fc2,Igor Aragão,87,Masculino,09/03/1981,2000/2,2000/2,Vestibular,Ampla Concorrência,
8b940be7fb78aaa6b6567dd7a3987996947460df1c668e698eb92ca77e425349,Dra. Ana Luiza Vargas,88,Masculino,01/12/1982,2000/1,2000/2,Vestibular,Ampla Concorrência,
